baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABLIM1	4142.58472253314	-0.00726572523257488	0.0258358812553903	-0.281226142849646	0.778536954363835	0.870968090972467
ABLIM2	1674.65767560894	-0.0741290728128749	0.0401438490128683	-1.84658608069975	0.0648071530621324	0.162652842830751
ABLIM3	780.674664489274	-0.0125810835651864	0.0214201985813057	-0.587346728716437	0.556970863567903	0.707895426554366
ABO	14.6654698242119	-0.00891969164836915	0.071548753565972	-0.124665926432173	0.900788033673838	0.944895134463218
ABR	9538.4099567044	-0.0274037464533535	0.0213702140044925	-1.28233374020459	0.199725596885198	0.355603484653519
ABRA	5.07671507470063	-0.268655310815944	0.0989831285166147	-2.71415255147092	0.00664455603713189	0.0337455680518938
ABRACL	179.617210279415	-0.0629868775361766	0.0429907889915254	-1.46512494917441	0.142886830904716	0.283459990556959
ABT1	229.779493857066	-0.00310911272196342	0.023906722555721	-0.13005181763066	0.896525430230515	0.942648925033371
ABTB1	1895.3329151571	0.03119707581295	0.0388243264323828	0.803544547444588	0.421660059506811	0.588673311689427
ABTB2	220.885742165713	0.123275420988662	0.04235010982068	2.91086425774663	0.00360430567278578	0.0222854875544239
AC002365.1	2.74699613545279	-0.302144510462022	0.133687986567764	-2.26007226392679	0.0238167662247581	0.0813016299864651
AC002472.13	9.30489361303239	0.0897885069340938	0.0814943260306941	1.10177617642087	0.270558990015493	0.436435020100382
AC004381.6	52.6306101877475	-0.0601818962289308	0.0361464091303808	-1.66494812837019	0.0959231050453822	0.214651332800249
AC004980.11	1.99148530475217	0.14683476858295	0.119588724321449	1.22783121415582	0.219510335470625	0.380420936640426
AC005013.1	0.373178816860786	0.179337646506133	0.201973451233773	0.887926831029688	0.374580110937214	0.545487597903778
AC005779.2	0.511619689572543	0.121269034182195	0.177711363851096	0.682393244608746	0.494990326204413	0.656680129679069
AC006547.14	14.7641321059032	0.0996203572154375	0.0729529725799073	1.36554212518648	0.172082722517195	0.321895916238046
AC007040.11	15.2618030289742	0.13209650269461	0.0952079635743336	1.38745224386063	0.165303903747409	0.313136075619886
AC010547.9	0.401000828635796	-0.213465787641731	0.193484706171237	-1.10326956515524	0.269910119318884	0.435591049251847
AC010642.1	11.5278481105213	-0.190395799966656	0.0866052714379015	-2.19843199848609	0.0279183355141759	0.0906005409650548
AC011242.6	9.72212799528362	0.00405884272870783	0.061201790914019	0.0663190189059992	0.947123841660011	0.969786322805722
AC018720.10	2.91875124373289	0.0488515736283015	0.0889456143032778	0.549229706388135	0.582847820379314	0.730181840031364
AC022431.2	1.03261301785197	0.365003365281206	0.130520623744209	2.79651870187603	0.00516564212337862	0.0286574083355553
AC034228.7	9.06619508263843	0.161685920608305	0.107069238455959	1.51010619800767	0.131016328240155	0.266319960676768
